13594666.37,4509729.442
13594666.44,4509728.709
13594666.23,4509727.693
13594666.46,4509727.193
13594666.7,4509726.28
13594667.41,4509725.14
13594666.8,4509724.362
13594666.77,4509723.679
13594666.95,4509722.957
13594667.03,4509721.937
13594666.63,4509721.332
13594667.09,4509720.432
13594669.03,4509720.882
13594668.81,4509720.257
13594668.99,4509718.974
13594670.07,4509718.573
13594669.22,4509724.205
13594672.07,4509722.122
13594672.08,4509721.024
13594671.86,4509720.373
13594671.8,4509719.58
13594669.85,4509720.347
13594671.75,4509719.859
13594670.88,4509719.855
13594670.11,4509719.981
13594669.46,4509719.725
13594668.56,4509719.686
13594667.51,4509719.305
13594671.41,4509719.412
13594670.48,4509719.545
13594670.29,4509721.628
13594669.41,4509721.625
13594671.74,4509722.62
13594670.9,4509722.597
13594670.33,4509722.503
13594672.19,4509721.313
13594671.42,4509721.239
13594670.61,4509721.207
13594669.64,4509721.059
13594668.76,4509721.122
13594667.95,4509721.037
13594669.41,4509721.625
13594670.98,4509723.956
13594670.5,4509723.926
13594669.4,4509723.666
13594670.17,4509722.342
13594669.56,4509720.49
13594669.44,4509719.727
13594671.98,4509722.65
13594671.9,4509721.782
13594672.09,4509722.005
13594671.67,4509722.099
13594671,4509722.047
13594670.08,4509721.962
13594672.04,4509720.61
13594670.91,4509720.839
13594670.28,4509720.504
13594669.44,4509720.22
13594668.65,4509720.856
13594667.69,4509720.169
13594671.45,4509720.573
13594670.8,4509720.661
13594669.89,4509720.47
13594669.27,4509720.274
13594668.49,4509720.283
13594668.64,4509720.746
13594667.42,4509719.348
13594667.82,4509719.948
13594668.32,4509720.706
13594669.28,4509720.701
13594669.95,4509720.849
13594670.54,4509720.939
13594671.44,4509721.092
13594667.83,4509720.918
13594668.65,4509720.856
13594669.68,4509721
13594670.35,4509721.082
13594671.24,4509721.364
13594671.97,4509721.322
13594669.95,4509722.745
13594671.66,4509722.564
13594672.71,4509722.841
13594670.43,4509719.93
13594670.15,4509720.875
13594670.32,4509721.41
13594669.73,4509721.511
13594670.61,4509721.974
13594671.34,4509721.855
13594672.09,4509721.982
13594670.04,4509723.366
13594670.87,4509723.31
13594671.64,4509723.395
13594667.5,4509720.233
13594668.32,4509720.215
13594669.06,4509720.403
13594670.02,4509720.529
13594670.73,4509720.508
13594671.36,4509720.583
13594672.35,4509720.826
13594670.24,4509721.943
13594671.03,4509721.932
13594670.21,4509722.181
13594671.37,4509722.306
13594669.25,4509721.01
13594669.91,4509721.08
13594670.65,4509721.16
13594671.55,4509721.375
13594669.76,4509722.518
13594668,4509716.447
13594668.18,4509715.003
13594668.18,4509713.892
13594668.13,4509712.447
13594668.29,4509711.314
